gene_symbol,log2_fold_change,nominal_p,adjusted_p
MEF2D,-0.36076521657771465,7.630555319856735e-7,3.259492926529007e-4
CDK2AP1,0.6318198165667104,9.471004268412718e-7,3.7403318932480487e-4
DNAJC5G,-1.3744805103973317,1.0214607198732889e-6,3.9415303196091103e-4
HIVEP2,-0.3837153078496085,1.0430718577501816e-6,3.9415303196091103e-4
PPIC,0.7291416677569735,1.0765704090506355e-6,3.9415303196091103e-4
LCLAT1,-0.29843998800620497,1.0990294221965214e-6,3.9415303196091103e-4
GEM,1.168866824390573,1.1087728174779113e-6,3.9415303196091103e-4
MXI1,0.4411997862338248,1.129863929943847e-6,3.9415303196091103e-4
OTOGL,-0.9672035856600676,1.1760353556526265e-6,4.0353436113385447e-4
ID3,1.1872379357147382,1.2163713754178373e-6,4.106430525624315e-4
SMIM10L2B,-0.6802153992809421,1.2521310773955549e-6,4.155344739536872e-4
PRELP,1.1540644673346758,1.2864683905751491e-6,4.155344739536872e-4
ADAMTS8,-0.5846474453576711,1.2904180787821732e-6,4.155344739536872e-4
GLP1R,1.465215439697316,1.32915697537779e-6,4.187685586707432e-4
LOC158434,1.2743151726106343,1.3477448527244532e-6,4.187685586707432e-4
CDK16,-0.307758329524078,1.4000881737537085e-6,4.187685586707432e-4
SAMD11,1.4236972948864637,1.4085569388353846e-6,4.187685586707432e-4
SNORA7A,1.5297597817362545,1.41350382455931e-6,4.187685586707432e-4
DNAJC18,-0.30443123246653503,1.420503925546929e-6,4.187685586707432e-4
SLC30A3,-0.9732871955283372,1.5126648716432627e-6,4.310805872084868e-4
SNORA73A,1.1573868881408362,1.5397947731067395e-6,4.310805872084868e-4
CRY1,0.4123561683393331,1.5446488003743972e-6,4.310805872084868e-4
WEE1,0.92993077993359885,1.5899445765148986e-6,4.321964926108226e-4
TFDP2,0.3564482537173177,1.6414923345622897e-6,4.404881545477345e-4
SOX13,0.6194498635058912,1.7011743252651516e-6,4.5072506078639097e-4
HEBP2,0.6146203943121877,1.8163360835818572e-6,4.699367311508342e-4
FBXO9,-0.39996530495453975,1.8185884679765695e-6,4.699367311508342e-4
C21ORF62,1.8652568105772565,1.868812632723484e-6,4.770258197016492e-4
ATXN1,-0.3022176118894544,1.937384290159805e-6,4.885709708112635e-4
EGR3,-0.7414183445990039,1.9809805871125183e-6,4.9361791272443e-4
