module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour
FTLD3_black,ARF1,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ATP13A2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ATP6V0A2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ATP6V0D1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ATP6V1G1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,ATP7B,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,BCL2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,BMP2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,BMP6,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CAT,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CIAPIN1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,COX17,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CPOX,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CYB5B,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CYP27A1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CYP2E1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,CYP51A1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,DAXX,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,DNM2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,DOHH,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,DUOX1,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,EIF2AK1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,FBXL5,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,FECH,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,FTH1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,FTO,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,FXN,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,GLRX5,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,HEPHL1,TRUE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,HIF1A,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,HMBS,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,IREB2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,KCNH7,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,KDM3A,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,LMTK2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,LYRM4,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,MECR,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black
FTLD3_black,MT3,TRUE,FALSE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black
