module,gene_symbol,copper,broad_iron,core_iron,contributed_to_enrichment,log2_fold_change,nominal_p,adjusted_p,direction,minus_log10_adjusted_p
FTLD3 black,LYRM4,FALSE,TRUE,TRUE,TRUE,-0.24089874708264203,0.00215725458286206,0.01876601574421269,Downregulated,1.7266279236480293
FTLD3 black,FECH,FALSE,TRUE,FALSE,TRUE,-0.1834657484541169,0.00850204742838882,0.04419240555271782,Downregulated,1.3546523575724236
FTLD3 black,ARF1,TRUE,FALSE,FALSE,FALSE,-0.16787398177596025,0.0051900237958824,0.0325636654890931,Downregulated,1.4872667152051946
FTLD3 black,SLC25A39,FALSE,TRUE,TRUE,TRUE,0.17397510056020327,0.00833605625782593,0.04370138114505591,Upregulated,1.3595048373042251
FTLD3 black,SMAD1,FALSE,TRUE,TRUE,TRUE,0.20668304273710936,0.00990443821387986,0.04842555390206013,Upregulated,1.3149254030253212
FTLD3 black,NUBP1,FALSE,TRUE,TRUE,TRUE,0.22068094620726345,0.00887664717802385,0.04535647856219852,Upregulated,1.343360671054576
FTLD3 black,SLC39A1,FALSE,TRUE,TRUE,TRUE,0.3151369924792249,0.00327093876316641,0.02442106686532103,Upregulated,1.6122353672707004
FTLD3 black,CAT,FALSE,TRUE,FALSE,TRUE,0.3563467745811808,0.00539947594239614,0.03330870349257107,Upregulated,1.4774422714511342
FTLD3 black,MT3,TRUE,FALSE,FALSE,FALSE,0.3627068003010052,0.00409787324658787,0.02810373031596684,Upregulated,1.551236030695728
FTLD3 black,SMAD9,FALSE,TRUE,TRUE,TRUE,0.5657743027811728,1.3659131274174936e-4,0.00385828983400479,Upregulated,2.4136051513471264
FTLD3 black,ALOX5,FALSE,TRUE,TRUE,TRUE,0.6022955528193115,0.00455463459192362,0.02987560534113238,Upregulated,1.524683286256357
FTLD3 black,BMP6,FALSE,TRUE,TRUE,TRUE,0.9236394400893628,0.00213022331584817,0.01864034457525845,Upregulated,1.7295460637765552
FTLD3 turquoise,SNCA,TRUE,TRUE,TRUE,TRUE,-0.4139041712636802,0.00720242895508215,0.03992426918930737,Downregulated,1.3987630248439813
FTLD3 turquoise,LMTK2,FALSE,TRUE,TRUE,TRUE,-0.3315881897168369,0.0016842418451254,0.01608985214984932,Downregulated,1.7934479466281057
FTLD3 turquoise,ADO,FALSE,TRUE,TRUE,TRUE,-0.22241258993707724,0.00171686206226262,0.01626783151888594,Downregulated,1.788670334103511
FTLD3 turquoise,COX10,FALSE,TRUE,FALSE,TRUE,-0.198753890915206,0.00196472206679345,0.0177007978964253,Downregulated,1.7520071565644952
FTLD3 turquoise,FECH,FALSE,TRUE,FALSE,TRUE,-0.1834657484541169,0.00850204742838882,0.04419240555271782,Downregulated,1.3546523575724236
FTLD3 turquoise,ACO2,FALSE,TRUE,TRUE,TRUE,-0.1737808495751363,0.01031857866535192,0.04957494167085784,Downregulated,1.3047377881068145
FTLD3 turquoise,ARF1,TRUE,FALSE,FALSE,FALSE,-0.16787398177596025,0.0051900237958824,0.0325636654890931,Downregulated,1.4872667152051946
FTLD3 turquoise,SLC25A39,FALSE,TRUE,TRUE,TRUE,0.17397510056020327,0.00833605625782593,0.04370138114505591,Upregulated,1.3595048373042251
FTLD3 turquoise,SMAD1,FALSE,TRUE,TRUE,TRUE,0.20668304273710936,0.00990443821387986,0.04842555390206013,Upregulated,1.3149254030253212
FTLD3 turquoise,NUBP1,FALSE,TRUE,TRUE,TRUE,0.22068094620726345,0.00887664717802385,0.04535647856219852,Upregulated,1.343360671054576
FTLD3 turquoise,SLC39A1,FALSE,TRUE,TRUE,TRUE,0.3151369924792249,0.00327093876316641,0.02442106686532103,Upregulated,1.6122353672707004
FTLD3 turquoise,CAT,FALSE,TRUE,FALSE,TRUE,0.3563467745811808,0.00539947594239614,0.03330870349257107,Upregulated,1.4774422714511342
FTLD3 turquoise,MT3,TRUE,FALSE,FALSE,FALSE,0.3627068003010052,0.00409787324658787,0.02810373031596684,Upregulated,1.551236030695728
FTLD3 turquoise,TFAP2A,FALSE,TRUE,TRUE,TRUE,0.9207989753984048,0.00140887493910968,0.01458963556355081,Upregulated,1.835955556270745
FTLD3 turquoise,BMP6,FALSE,TRUE,TRUE,TRUE,0.9236394400893628,0.00213022331584817,0.01864034457525845,Upregulated,1.7295460637765552
