module_id,gene_symbol,copper,broad_iron,core_iron,module_order,disease_group,cohort,module_colour,occurrences,recurrence_label
AD_HIPPO_yellow,ARHGAP1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,2,2/9
FTLD2_darkmagenta,ARHGAP1,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,2,2/9
FTLD3_black,CIAPIN1,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,CIAPIN1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_turquoise,CLTC,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
MSA_violet,CLTC,FALSE,TRUE,TRUE,8,Multiple system atrophy,MSA,violet,2,2/9
FTLD1_red,CPOX,FALSE,TRUE,FALSE,4,Frontotemporal lobar degeneration,FTLD1,red,2,2/9
FTLD3_black,CPOX,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
AD_ERC_darkred,CYP46A1,FALSE,TRUE,FALSE,2,Alzheimer's disease,ERC,darkred,2,2/9
MSA_violet,CYP46A1,FALSE,TRUE,FALSE,8,Multiple system atrophy,MSA,violet,2,2/9
FTLD2_darkmagenta,DGCR8,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,2,2/9
FTLD3_turquoise,DGCR8,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
AD_ERC_darkred,EGLN1,FALSE,TRUE,TRUE,2,Alzheimer's disease,ERC,darkred,2,2/9
FTLD3_turquoise,EGLN1,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,FECH,FALSE,TRUE,FALSE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,FECH,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,GLRX5,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,GLRX5,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD2_darkmagenta,HIF1A,FALSE,TRUE,TRUE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,2,2/9
FTLD3_black,HIF1A,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD2_darkmagenta,HMOX2,FALSE,TRUE,FALSE,5,Frontotemporal lobar degeneration,FTLD2,darkmagenta,2,2/9
FTLD3_turquoise,HMOX2,FALSE,TRUE,FALSE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
AD_HIPPO_yellow,IREB2,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,2,2/9
FTLD3_black,IREB2,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD1_red,ISCU,FALSE,TRUE,TRUE,4,Frontotemporal lobar degeneration,FTLD1,red,2,2/9
FTLD3_turquoise,ISCU,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,KDM3A,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
FTLD3_turquoise,KDM3A,FALSE,TRUE,TRUE,7,Frontotemporal lobar degeneration,FTLD3,turquoise,2,2/9
FTLD3_black,LYRM4,FALSE,TRUE,TRUE,6,Frontotemporal lobar degeneration,FTLD3,black,2,2/9
PSP_pink,LYRM4,FALSE,TRUE,TRUE,9,Progressive supranuclear palsy,PSP,pink,2,2/9
AD_HIPPO_yellow,MCOLN1,FALSE,TRUE,TRUE,3,Alzheimer's disease,HIPPO,yellow,2,2/9
