No.,geneSymbol,Gene_set,GO_terms,GO_identifiers,Evidence_codes,Source_files
116,SLC39A1,Core iron,iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0005385; GO:0071577,IDA; IMP,iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
117,SLC39A14,Core iron,intracellular iron ion homeostasis; iron homeostasis; iron import into cell; iron ion transmembrane transport; iron ion transport,GO:0033212; GO:0034755,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_import_into_cell_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transport_3.txt
118,SLC39A2,Core iron,iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0005385; GO:0046873; GO:0070574; GO:0071577,IDA; IMP,iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
119,SLC39A8,Core iron,intracellular iron ion homeostasis; iron homeostasis; iron import into cell; iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0098711; GO:0140410,IDA,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_import_into_cell_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
120,SLC40A1,Core iron,intracellular iron ion homeostasis; iron homeostasis; iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0005381; GO:0006879; GO:0015093; GO:0034755,IDA; IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
121,SLC46A1,Core iron,iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0015232,IDA,iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
122,SLC48A1,Core iron,iron ion transmembrane transport; iron ion transmembrane transporter activity; iron ion transport,GO:0015232; GO:0015886,IDA; IMP,iron_ion_transmembrane_transport_3.txt; iron_ion_transmembrane_transporter_activity_3.txt; iron_ion_transport_3.txt
123,SMAD1,Core iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; response to iron ion,GO:0006879; GO:0030509,IDA,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; response_to_iron_ion_3.txt
124,SMAD5,Core iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; response to iron ion,GO:0006879; GO:0030509,IDA,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; response_to_iron_ion_3.txt
125,SMAD9,Core iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; response to iron ion,GO:0006879; GO:0030509,IDA,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; response_to_iron_ion_3.txt
126,SNCA,Core iron,ferrous iron binding; iron ion binding; response to iron ion,GO:0008198; GO:0010040,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt; response_to_iron_ion_3.txt
127,TET1,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
128,TET2,Core iron,ferrous iron binding; iron ion binding,GO:0008198,IDA,ferrous_iron_binding_3.txt; iron_ion_binding_3.txt
129,TF,Core iron,cellular response to iron ion; ferrous iron binding; intracellular iron ion homeostasis; iron homeostasis; iron ion binding; iron ion transport; multicellular organismal-level iron ion homeostasis; response to iron ion,GO:0006826; GO:0006879; GO:0008198; GO:0060586; GO:0071281,IDA; IGI; IMP,cellular_response_to_iron_ion_3.txt; ferrous_iron_binding_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_binding_3.txt; iron_ion_transport_3.txt; multicellular_organismal-level_iron_ion_homeostasis_3.txt; response_to_iron_ion_3.txt
130,TFAP2A,Core iron,cellular response to iron ion; response to iron ion,GO:0071281,IDA,cellular_response_to_iron_ion_3.txt; response_to_iron_ion_3.txt
131,TFR2,Core iron,cellular response to iron ion; intracellular iron ion homeostasis; iron homeostasis; iron import into cell; iron ion transport; multicellular organismal-level iron ion homeostasis; response to iron ion,GO:0006879; GO:0010039; GO:0033572; GO:0060586; GO:0071281; GO:0140298,IDA; IGI; IMP,cellular_response_to_iron_ion_3.txt; intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_import_into_cell_3.txt; iron_ion_transport_3.txt; multicellular_organismal-level_iron_ion_homeostasis_3.txt; response_to_iron_ion_3.txt
132,TFRC,Core iron,intracellular iron ion homeostasis; iron homeostasis; iron ion transport; multicellular organismal-level iron ion homeostasis,GO:0006826; GO:0033572; GO:0060586,IDA,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt; iron_ion_transport_3.txt; multicellular_organismal-level_iron_ion_homeostasis_3.txt
133,TMPRSS6,Core iron,iron homeostasis; multicellular organismal-level iron ion homeostasis,GO:0060586,IMP,iron_homeostasis_3.txt; multicellular_organismal-level_iron_ion_homeostasis_3.txt
134,TYW5,Core iron,iron ion binding,GO:0005506,IDA,iron_ion_binding_3.txt
135,VMA12,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
136,VMA22,Core iron,intracellular iron ion homeostasis; iron homeostasis,GO:0006879,IMP,intracellular_iron_ion_homeostasis_3.txt; iron_homeostasis_3.txt
