Module,Gene symbol,Copper-set member,Broad-iron-set member,Core-iron-set member,Contributed to module enrichment,Matched in FTLDexp,Log2 fold change,Nominal P,FDR-adjusted P,Significantly differentially expressed,Direction
FTLD3 black,EIF2AK1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.11715938471919962,0.01227452035875672,0.0555858904433442,FALSE,NA
FTLD3 black,NEO1,FALSE,TRUE,TRUE,TRUE,TRUE,0.2031573942259124,0.01585516614879844,0.06566372826681839,FALSE,NA
FTLD3 black,CIAPIN1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.15861923871526074,0.02492735020145537,0.08879414007261102,FALSE,NA
FTLD3 black,BCL2,FALSE,TRUE,TRUE,TRUE,TRUE,0.20518680958001576,0.02586024622966186,0.09114005957788388,FALSE,NA
FTLD3 black,TBXAS1,FALSE,TRUE,FALSE,TRUE,TRUE,0.5940620970801662,0.02694986076993011,0.09376455049458232,FALSE,NA
FTLD3 black,CYP27A1,FALSE,TRUE,FALSE,TRUE,TRUE,0.3152109724348646,0.03593133693831917,0.11323077588918376,FALSE,NA
FTLD3 black,KCNH7,FALSE,TRUE,FALSE,TRUE,TRUE,-0.2800430168554042,0.03960817549238578,0.12092163378517018,FALSE,NA
FTLD3 black,PXDN,FALSE,TRUE,FALSE,TRUE,TRUE,-0.2599559606032127,0.04111027850288121,0.12391790149263154,FALSE,NA
FTLD3 black,MYC,FALSE,TRUE,TRUE,TRUE,TRUE,0.35567203024988014,0.04561841411181481,0.13283792790406174,FALSE,NA
FTLD3 black,KDM3A,FALSE,TRUE,TRUE,TRUE,TRUE,0.1532750761453361,0.05001396539995259,0.1415416860176322,FALSE,NA
FTLD3 black,DNM2,FALSE,TRUE,TRUE,TRUE,TRUE,0.15645309555069709,0.06031143452995777,0.16018000712429212,FALSE,NA
FTLD3 black,SLC25A37,FALSE,TRUE,TRUE,TRUE,TRUE,-0.15526280456116923,0.06036593008737132,0.16030440023582454,FALSE,NA
FTLD3 black,COX17,TRUE,FALSE,FALSE,FALSE,TRUE,0.17632981835768025,0.07743135988663435,0.1896905189357612,FALSE,NA
FTLD3 black,DAXX,TRUE,FALSE,FALSE,FALSE,TRUE,0.1108460659972188,0.08610100606786794,0.20294962297434,FALSE,NA
FTLD3 black,FTO,FALSE,TRUE,TRUE,TRUE,TRUE,-0.09233008523407182,0.0882104908150469,0.206238010770612,FALSE,NA
FTLD3 black,ABCB6,FALSE,TRUE,TRUE,TRUE,TRUE,0.13203667376989792,0.09132344304816194,0.21128451270488313,FALSE,NA
FTLD3 black,TP53,TRUE,FALSE,FALSE,FALSE,TRUE,0.24392569523074492,0.09351966629523516,0.2148222273074591,FALSE,NA
FTLD3 black,ATP6V0D1,FALSE,TRUE,TRUE,TRUE,TRUE,-0.1296910852682256,0.11672058011736708,0.2491026228020721,FALSE,NA
