gene_symbol,occurrences,recurrence_label,retained_modules,broad_iron,core_iron
MYC,4,4/9,FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise; MSA_violet,TRUE,TRUE
NFU1,4,4/9,AD_ERC_darkred; FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,TRUE
SLC39A1,4,4/9,AD_HIPPO_yellow; FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
SNCA,4,4/9,AD_ERC_greenyellow; FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,TRUE
ABCB6,3,3/9,AD_ERC_greenyellow; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
ADO,3,3/9,AD_ERC_darkred; FTLD3_turquoise; PSP_pink,TRUE,TRUE
ATP6V0A2,3,3/9,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
ATP6V1A,3,3/9,FTLD3_turquoise; MSA_violet; PSP_pink,TRUE,TRUE
B2M,3,3/9,AD_HIPPO_yellow; FTLD3_turquoise; PSP_pink,TRUE,TRUE
CAT,3,3/9,FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,FALSE
CYP27A1,3,3/9,FTLD1_red; FTLD3_black; MSA_violet,TRUE,FALSE
CYP2E1,3,3/9,AD_ERC_greenyellow; AD_ERC_darkred; FTLD3_black,TRUE,FALSE
DNM2,3,3/9,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
DOHH,3,3/9,FTLD2_darkmagenta; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
DUOX1,3,3/9,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,FALSE
EIF2AK1,3,3/9,AD_HIPPO_yellow; FTLD3_black; FTLD3_turquoise,TRUE,TRUE
FBXL5,3,3/9,AD_HIPPO_yellow; FTLD1_red; FTLD3_black,TRUE,TRUE
FTO,3,3/9,FTLD3_black; FTLD3_turquoise; PSP_pink,TRUE,TRUE
