module_order,module_id,metal_enrichment,candidate_rank,gene_symbol,module_membership,gene_significance,priority_score,copper_gene,broad_iron_gene,core_iron_gene
7,FTLD3_turquoise,Broad and core iron,51,SLC40A1,0.4484431968407429,0.04896147492767967,0.02195644033860655,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,52,NUBP1,0.47872961766582905,0.04359425908309779,0.0208698629832765,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,53,COX15,0.484374005631828,0.03781242445572619,0.01831535549627098,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,54,SLC39A14,0.409296772197428,0.03944646989170274,0.01614531280125696,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,55,B2M,0.2823174434912895,0.04914492968359167,0.01387447090883078,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,56,CBS,0.513104335235505,0.02370645268616596,0.01216388364632713,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,57,GLRX5,0.14390050102068125,0.08216112619057563,0.01182302722324724,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,58,NDUFS7,0.29985775735754683,0.03509380573398134,0.01052314988453306,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,59,SRC,0.2286789658703541,0.03778802679241472,0.00864132688917063,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,60,PXDN,0.12019209696385214,0.06702609900771575,0.00805600739104412,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,61,MMS19,0.2302492548657326,0.02390985463473557,0.00550522621359584,FALSE,TRUE,TRUE
7,FTLD3_turquoise,Broad and core iron,62,CAT,0.22662816688251325,0.02252181076502746,0.00510407668855302,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,63,KCNH7,0.33794484491222815,0.00885227091989626,0.00299157932314537,FALSE,TRUE,FALSE
7,FTLD3_turquoise,Broad and core iron,64,CIAPIN1,0.4300781521194262,0.00578383520344904,0.00248750115646265,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,1,TFRC,0.8057518164276632,0.6116873751072436,0.49286821357853094,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,2,TET2,0.9427334885557028,0.3394375922666049,0.3199991855044447,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,3,BCL2,0.7440402321568736,0.4230624669296936,0.3147754961112289,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,4,DNAJC24,0.8393945170127356,0.33222775145059846,0.27887015296710227,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,5,NEO1,0.5109140698297978,0.4489565935932567,0.2293782404096533,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,6,GLRX3,0.4399518168739135,0.5136738806996747,0.22599175709449576,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,7,PICALM,0.46284433817026105,0.46808106393097576,0.21664867024516413,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,8,ISCA1,0.5455215782133274,0.34570263426648423,0.1885882466375572,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,9,MECR,0.8152044314809583,0.20333053754499864,0.16575595526208828,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,10,ATP6V1A,0.4916326870320408,0.27189500924360044,0.13367247398503287,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,11,CLTC,0.6663011633185637,0.15153390227894065,0.10096721537065972,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,12,ACO1,0.35996642579930965,0.21013995324207743,0.07564332788618468,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,13,NUBPL,0.5526384709404576,0.10056941731233957,0.05557852900686412,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,14,MYC,0.5532890211898108,0.0846352008491111,0.04682772743600772,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,15,TET1,0.6857377462884388,0.06718795302391406,0.04607331548435232,FALSE,TRUE,TRUE
8,MSA_violet,Core iron,16,BMP6,0.5172905190023238,0.08179297034041855,0.04231072807813679,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,1,NFU1,0.6637874650149298,0.6533875026011148,0.4337104340240298,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,2,CYBRD1,0.4641295980741189,0.541627048026935,0.25138514410681284,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,3,BCL2,0.6883690704233791,0.35333612628537053,0.2432256607980582,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,4,FTH1,0.4640847529520139,0.5063677063005404,0.23499753188136424,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,5,ADO,0.4891956047339669,0.35438084273548315,0.17336155066811748,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,6,FTO,0.2791176754105811,0.6120164874093432,0.17082461927864503,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,7,NDUFS3,0.6141154658602013,0.26838220495068116,0.16481766282187557,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,8,ATP6V1A,0.4049508268688926,0.379872523968984,0.1538296926860133,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,9,SLC39A8,0.6792241658439143,0.2193255999131612,0.148971247649233,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,10,HFE,0.5074327320538263,0.239380982989848,0.1214697462002691,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,11,B2M,0.4492261392190511,0.1777231110090429,0.07983786700859118,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,12,NDUFS2,0.4483133754501774,0.15840815451708823,0.07101649445038909,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,13,CP,0.3019421720758847,0.22196145254992056,0.06701952310004143,TRUE,TRUE,TRUE
9,PSP_pink,Core iron,14,LYRM4,0.34025846140351707,0.15467761339871977,0.05263036674861642,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,15,SNCA,0.3614487087703098,0.07148842104000623,0.0258393974769385,TRUE,TRUE,TRUE
9,PSP_pink,Core iron,16,ALOX5,0.4554339771182931,0.03622087740561652,0.01649621825155405,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,17,TMPRSS6,0.249969742256261,0.04171010604352768,0.01042626445718192,FALSE,TRUE,TRUE
9,PSP_pink,Core iron,18,NUBP1,0.4416594858788824,0.01676609302550109,0.00740490402584033,FALSE,TRUE,TRUE
