network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR,module_id,disease_group,disease_or_comparison,dataset_or_network,source_study,positive_enrichment,FDR_significant
AD_ERC,pink,Copper,3,1923,14429,32,0.6722687287542327,0.7930140806575757,1,AD_ERC_pink,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,lightgreen,Copper,2,1015,14429,32,0.8808192357533601,0.9999999999999998,1,AD_ERC_lightgreen,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,lightyellow,Copper,4,1977,14429,32,0.8995566945605608,0.9999999999999999,1,AD_ERC_lightyellow,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,purple,Copper,2,931,14429,32,0.9664892107255341,1,1,AD_ERC_purple,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,darkgrey,Copper,3,1539,14429,32,0.8661677810635099,1.0000000000000002,1,AD_ERC_darkgrey,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,royalblue,Core iron,22,2516,14429,88,1.583338957839161,0.06678432914336573,0.7514952521895388,AD_ERC_royalblue,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,orange,Core iron,6,1733,14429,88,0.5344576217009397,0.18521101509082583,0.7514952521895388,AD_ERC_orange,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,turquoise,Core iron,11,2599,14429,88,0.6487839149904739,0.21041867061307087,0.7514952521895388,AD_ERC_turquoise,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,darkred,Core iron,14,1823,14429,88,1.3105947522851515,0.3349255797579541,1,AD_ERC_darkred,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
AD_ERC,lightcyan,Core iron,7,939,14429,88,1.243328207104566,0.5153849013828022,1,AD_ERC_lightcyan,Alzheimer's disease,AD,ERC,Fodder et al. (2026),FALSE,FALSE
