network_id,module,gene_set,overlap,module_size,network_background_size,available_gene_set_size,odds_ratio,p_value,FDR
FTLD2,floralwhite,Broad iron,1,272,15193,141,0.3896047397301593,0.5243352061004196,0.9976342350817698
FTLD2,darkolivegreen,Broad iron,4,659,15193,141,0.6417648563844927,0.5312540095410002,0.9976342350817698
FTLD2,ivory,Broad iron,8,692,15193,141,1.263486265042908,0.5381859352819881,0.9976342350817698
FTLD2,bisque4,Broad iron,14,1275,15193,141,1.2055878131948485,0.5396108335020713,0.9976342350817698
FTLD2,darkorange2,Broad iron,11,1488,15193,141,0.7777309319493068,0.5676310696316146,0.9976342350817698
FTLD2,magenta,Broad iron,11,1041,15193,141,1.1519071529266987,0.6145305484558045,0.9976342350817698
FTLD2,brown,Broad iron,11,1433,15193,141,0.8110316427143979,0.6629277146353356,0.9976342350817698
FTLD2,darkgrey,Broad iron,13,1648,15193,141,0.8334127892276199,0.68228386378402,0.9976342350817698
FTLD2,yellow,Broad iron,6,807,15193,141,0.7907389359930326,0.707306378907903,0.9976342350817698
FTLD2,darkturquoise,Broad iron,9,890,15193,141,1.0966885011334242,0.7185620373350412,0.9976342350817698
FTLD2,royalblue,Broad iron,9,900,15193,141,1.0836061159578645,0.7212374658099704,0.9976342350817698
FTLD2,pink,Broad iron,10,986,15193,141,1.1009011565108338,0.730349434754734,0.9976342350817698
FTLD2,greenyellow,Broad iron,10,1004,15193,141,1.0795696873777672,0.7341592204138002,0.9976342350817698
FTLD2,brown4,Broad iron,10,1258,15193,141,0.8443395988145532,0.7582859752420238,0.9976342350817698
FTLD2,mediumpurple3,Broad iron,10,1270,15193,141,0.8355700656544109,0.7588874890067344,0.9976342350817698
FTLD2,lightgreen,Broad iron,11,1363,15193,141,0.8574138689668344,0.7668230821127897,0.9976342350817698
FTLD2,lightsteelblue1,Broad iron,2,333,15193,141,0.6399323208202925,0.7728251485425215,0.9976342350817698
FTLD2,skyblue3,Broad iron,2,342,15193,141,0.6226126129158867,0.7736755292470868,0.9976342350817698
FTLD2,violet,Broad iron,7,695,15193,141,1.0906129619311187,0.837911159743198,1
FTLD2,darkred,Broad iron,8,972,15193,141,0.8790471862157393,0.8632009448968471,1
FTLD2,plum2,Broad iron,10,1026,15193,141,1.0545941082588457,0.8653657148942527,1
FTLD2,yellowgreen,Broad iron,6,685,15193,141,0.9407985443596607,0.9999999999999992,1
FTLD2,darkorange,Broad iron,7,761,15193,141,0.9905980088697613,0.9999999999999994,1
FTLD2,lightcyan,Broad iron,7,766,15193,141,0.9837286154611965,0.9999999999999994,1
FTLD2,grey60,Broad iron,9,1016,15193,141,0.9509591746496926,1,1
FTLD2,midnightblue,Broad iron,10,1070,15193,141,1.0076335866243813,1,1
FTLD2,orange,Broad iron,9,989,15193,141,0.9790364526411893,1,1
FTLD2,tan,Broad iron,10,1123,15193,141,0.9560178694756634,1.0000000000000002,1
FTLD2,purple,Broad iron,8,946,15193,141,0.9050805005901,1.0000000000000004,1
FTLD2,lightsteelblue1,Copper,3,333,15193,33,4.4927365716117365,0.03506078107247365,1
FTLD2,royalblue,Copper,4,900,15193,33,2.1956334433382545,0.12884906286658412,1
FTLD2,cyan,Copper,4,962,15193,33,2.044647995445971,0.15341133712700541,1
FTLD2,pink,Copper,4,986,15193,33,1.9913233985855925,0.16338993324102888,1
FTLD2,darkmagenta,Copper,0,1063,15193,33,0,0.16833335473564517,1
FTLD2,turquoise,Copper,1,1542,15193,33,0.27619441109751763,0.24975510733488007,1
FTLD2,darkturquoise,Copper,0,890,15193,33,0,0.2611804908603989,1
FTLD2,black,Copper,4,1066,15193,33,1.830895269285492,0.288756612782216,1
FTLD2,sienna3,Copper,4,1142,15193,33,1.6994520954286625,0.30924482496266353,1
FTLD2,brown4,Copper,4,1258,15193,33,1.5294956377028643,0.34775366264855156,1
FTLD2,yellowgreen,Copper,0,685,15193,33,0,0.4027328472923698,1
FTLD2,violet,Copper,0,695,15193,33,0,0.403342183052933,1
FTLD2,white,Copper,0,785,15193,33,0,0.4151691595358346,1
FTLD2,floralwhite,Copper,1,272,15193,33,1.7168196076948221,0.44942127967972706,1
FTLD2,purple,Copper,3,946,15193,33,1.5075679425507877,0.45810605760997203,1
FTLD2,green,Copper,3,947,15193,33,1.5058652196206657,0.4584368136441439,1
FTLD2,orangered4,Copper,3,968,15193,33,1.4709234760176806,0.46552298563765626,1
FTLD2,orange,Copper,3,989,15193,33,1.437470457027344,0.4728598263208997,1
FTLD2,greenyellow,Copper,3,1004,15193,33,1.4144349022702605,0.47824037924907586,1
FTLD2,grey60,Copper,3,1016,15193,33,1.39649765068228,0.4826222090162145,1
FTLD2,magenta,Copper,3,1041,15193,33,1.3604603238243413,0.4919523850979589,1
FTLD2,midnightblue,Copper,3,1070,15193,33,1.3207772684484103,0.5030760842388682,1
FTLD2,mediumpurple3,Copper,1,1270,15193,33,0.3420911152256992,0.5208553541466756,1
FTLD2,darkslateblue,Copper,4,1298,15193,33,1.4779584911081887,0.5242876567880265,1
FTLD2,darkgrey,Copper,2,1648,15193,33,0.5297083661027921,0.5744938333725965,1
FTLD2,steelblue,Copper,2,653,15193,33,1.4378256940838794,0.6520399243197877,1
FTLD2,plum1,Copper,2,740,15193,33,1.2607513609635521,0.6746478180716181,1
FTLD2,darkorange,Copper,2,761,15193,33,1.2240869110383084,0.6806422185422017,1
