geneSymbol,moduleColor
RFWD3,black
RGMB,black
RGS12,black
RGS17,black
RGS7BP,black
RHOBTB1,black
RHOU,black
RIMKLB,black
RIMS2,black
RINT1,black
RIOK2,black
RNF10,black
RNF152,black
RNF185,black
RNF19A,black
RNF34,black
RNF4,black
RNF5P1,black
RNF7,black
RNGTT,black
RNH1,black
ROBO1,black
RORA,black
RPL22,black
RPL27A,black
RPL5,black
RPLP2,black
RPP30,black
RPP38,black
RPS10,black
RPS27A,black
RPS6KA5,black
RPTOR,black
RRAGD,black
RRP15,black
RSL24D1,black
RSRC2,black
RUFY1,black
RUFY2,black
RUNX1T1,black
RWDD2B,black
RYR3,black
SAMD13,black
SCAF8,black
SCARNA16,black
SCARNA2,black
SCG2,black
SCHIP1,black
SCIN,black
SCRN1,black
SDCCAG1,black
SDCCAG8,black
SDK1,black
SEC11A,black
SEMA3A,black
SEMA3C,black
SEMA3G,black
SEMA5A,black
SENP7,black
SEP-02,black
SEP-10,black
SEP-15,black
SEPHS1,black
SERINC5,black
SERPINA2,black
SERPINB7,black
SERPINB8,black
SESN1,black
SETD5,black
SFRS1,black
SFRS5,black
SFRS6,black
SFT2D1,black
SGSM3,black
SHC4,black
SHMT1,black
SIM2,black
SKOR2,black
SLC11A2,black
SLC12A5,black
SLC19A2,black
SLC25A46,black
SLC35A1,black
SLC35F5,black
SLC37A4,black
SLC38A10,black
SLC39A10,black
SLC43A1,black
SLC6A5,black
SLC7A6,black
SLC9A3,black
SLC9A5,black
SLC9A9-AS1,black
SMAD1,black
SMARCA5,black
SMARCAL1,black
SMNDC1,black
SMOC2,black
SNCA,black
SNCAIP,black
SNORA76,black
SNORD24,black
SNRNP27,black
SNRPN,black
SNX10,black
SNX13,black
SNX14,black
SNX5,black
SOAT1,black
SORCS3,black
SORT1,black
SOX2-OT,black
SP3,black
SPATA20,black
SPATA6,black
SPECC1,black
SPECC1L,black
SPG7,black
SPOCK3,black
SPRYD3,black
SRA1,black
SRFBP1,black
SRI,black
SSBP1,black
SSBP2,black
SSPN,black
ST3GAL5,black
ST3GAL6,black
STC1,black
STK39,black
STMN1,black
STOX2,black
STX18,black
SUFU,black
SUGT1,black
SUPT5H,black
SUV39H2,black
SVIP,black
SYNGAP1,black
SYT3,black
SYTL2,black
TAF1L,black
TAGLN3,black
TAOK3,black
TAP1,black
TBC1D23,black
TCEB3B,black
TCERG1,black
TCF25,black
TCN2,black
TCP11L2,black
TCTEX1D2,black
TDG,black
TEAD1,black
TEP1,black
TEX10,black
TEX9,black
TGIF1,black
THAP1,black
THAP7,black
THRAP3,black
THRB,black
THSD1,black
TKT,black
TLE4,black
TLK1,black
TLN1,black
TMC8,black
TMCO3,black
TMCO4,black
TMEM120B,black
TMEM128,black
TMEM132E,black
TMEM134,black
TMEM138,black
TMEM151B,black
TMEM170A,black
TMEM178,black
TMEM194A,black
TMEM196,black
TMEM230,black
TMEM41A,black
TMEM41B,black
TMEM44,black
TMEM99,black
TMOD3,black
TMPO-AS1,black
TMSB10,black
TNFAIP8L1,black
TNFRSF11B,black
TNFRSF19,black
TNNI3,black
TNR,black
TNS3,black
TNXB,black
TOM1L2,black
TOPBP1,black
TP53,black
TP53AIP1,black
TPCN2,black
TPI1,black
TPM1,black
TPO,black
TPPP,black
TPPP2,black
TRADD,black
TRAF6,black
TRIM26,black
TRIM27,black
TRIM3,black
TRIM4,black
TRIM68,black
TRIO,black
TRIOBP,black
TRIP13,black
TRMT1,black
TRNP1,black
TRNT1,black
TRPC7,black
TRRAP,black
TSC22D1,black
TSTD3,black
TTC18,black
TTC32,black
TTC37,black
TTC7A,black
TTLL10,black
TUB,black
TWIST1,black
TXNDC11,black
TXNRD1,black
TYW3,black
U2AF2,black
UBAC1,black
UBE2D3,black
UBE2F,black
UBL5,black
UBN2,black
UBQLN1,black
UBXN1,black
UFC1,black
UGGT1,black
UGP2,black
UGT2A2,black
UHMK1,black
UHRF1,black
UIMC1,black
ULK4,black
UPP2,black
USP12,black
USP53,black
UTRN,black
VAC14,black
VAMP4,black
VCAN,black
VEGFB,black
VHL,black
VPS13A-AS1,black
VPS26A,black
VPS28,black
VPS53,black
VSNL1,black
VSTM2A,black
VTI1A,black
VWA5A,black
VWC2,black
VWDE,black
WASF2,black
WBSCR16,black
WDR38,black
WDR59,black
WDR65,black
WDR75,black
WDR8,black
WDR93,black
WEE1,black
WIPF2,black
WIZ,black
WNT2,black
WTAP,black
XKR4,black
XPR1,black
XRCC3,black
XRN1,black
YARS2,black
YPEL4,black
YTHDC1,black
YWHAE,black
YWHAG,black
YWHAZ,black
ZBTB11-AS1,black
ZBTB12,black
ZBTB4,black
ZC3H3,black
ZCCHC3,black
