geneSymbol,moduleColor
MBOAT4,bisque4
MCFD2,bisque4
MCM3,bisque4
MDM2,bisque4
ME1,bisque4
ME3,bisque4
MED12L,bisque4
MED17,bisque4
MED6,bisque4
MEGF6,bisque4
MEIG1,bisque4
MEIS1,bisque4
METAP1,bisque4
METRN,bisque4
METTL3,bisque4
METTL7A,bisque4
MEX3C,bisque4
MGMT,bisque4
MIB2,bisque4
MICAL2,bisque4
MINPP1,bisque4
MIR1295,bisque4
MIR130B,bisque4
MIR203,bisque4
MIR548G,bisque4
MIR886,bisque4
MKI67IP,bisque4
MKLN1,bisque4
MLEC,bisque4
MLLT10,bisque4
MND1,bisque4
MOCS3,bisque4
MORC3,bisque4
MORF4L1,bisque4
MPDZ,bisque4
MPHOSPH10,bisque4
MPP5,bisque4
MPPE1,bisque4
MPPED2,bisque4
MPV17,bisque4
MRAS,bisque4
MRPL1,bisque4
MRPL12,bisque4
MRPL18,bisque4
MRPL30,bisque4
MRPL54,bisque4
MRPS18B,bisque4
MRPS27,bisque4
MRPS31,bisque4
MS4A4A,bisque4
MSLN,bisque4
MSRB3,bisque4
MTG1,bisque4
MTHFD1,bisque4
MTL5,bisque4
MTMR12,bisque4
MTMR3,bisque4
MTP18,bisque4
MTPAP,bisque4
MUCL1,bisque4
MYC,bisque4
MYL6B,bisque4
MYLK,bisque4
MYO3B,bisque4
N4BP2L1,bisque4
N6AMT1,bisque4
NAA30,bisque4
NADSYN1,bisque4
NAGK,bisque4
NAGPA,bisque4
NAPEPLD,bisque4
NBN,bisque4
NBR1,bisque4
NBR2,bisque4
NCAN,bisque4
NCAPG2,bisque4
NCBP2,bisque4
NCK2,bisque4
NCOA5,bisque4
NCOR2,bisque4
NCRNA00028,bisque4
NCRNA00081,bisque4
NCRNA00171,bisque4
NDE1,bisque4
NDUFB1,bisque4
NDUFS5,bisque4
NDUFS6,bisque4
NDUFV3,bisque4
NEK8,bisque4
NELL2,bisque4
NETO2,bisque4
NEURL3,bisque4
NFAT5,bisque4
NFATC2IP,bisque4
NFIA,bisque4
NHEDC1,bisque4
NHLRC3,bisque4
NID1,bisque4
NLGN1,bisque4
NMBR,bisque4
NME6,bisque4
NMU,bisque4
NNT,bisque4
NOS1,bisque4
NOS1AP,bisque4
NPB,bisque4
NPM1,bisque4
NPR1,bisque4
NR1D1,bisque4
NR1D2,bisque4
NR2F2,bisque4
NRCAM,bisque4
NRD1,bisque4
NRG1,bisque4
NRG3,bisque4
NRXN1,bisque4
NSMCE1,bisque4
NSMCE2,bisque4
NT5C2,bisque4
NT5E,bisque4
NT5M,bisque4
NTM,bisque4
NUBPL,bisque4
NUCB2,bisque4
NUCKS1,bisque4
NUDT16L1,bisque4
NUF2,bisque4
NUP210,bisque4
NUP54,bisque4
NXT1,bisque4
OBSCN,bisque4
ODZ2,bisque4
ODZ4,bisque4
OGDH,bisque4
OLFML2B,bisque4
OLIG1,bisque4
OPA3,bisque4
OPN5,bisque4
OPRD1,bisque4
OR5M1,bisque4
ORAI1,bisque4
ORC3L,bisque4
ORC5L,bisque4
OTX1,bisque4
OXR1,bisque4
P2RY6,bisque4
P4HA3,bisque4
PABPC1,bisque4
PABPN1,bisque4
PACS2,bisque4
PAFAH2,bisque4
PALLD,bisque4
PALM,bisque4
PANK1,bisque4
PANX1,bisque4
PAPPA,bisque4
PAQR9,bisque4
PARD3,bisque4
PARD3B,bisque4
PARP16,bisque4
PARP4,bisque4
PARS2,bisque4
PAX1,bisque4
PBLD,bisque4
PBX3,bisque4
PCDH1,bisque4
PCDH15,bisque4
PCDH7,bisque4
PCSK2,bisque4
PDCD7,bisque4
PDE3A,bisque4
PDE6C,bisque4
PDIA4,bisque4
PDIK1L,bisque4
PDLIM2,bisque4
PDLIM5,bisque4
PDXP,bisque4
PEBP1,bisque4
PECR,bisque4
PEX16,bisque4
PEX7,bisque4
PF4,bisque4
PFDN1,bisque4
PFDN6,bisque4
PGBD2,bisque4
PHACTR1,bisque4
PHLPP2,bisque4
PHTF1,bisque4
PHTF2,bisque4
PIAS1,bisque4
PIGY,bisque4
PIK3R3,bisque4
PIKFYVE,bisque4
PIP4K2A,bisque4
PIP5K1A,bisque4
PITRM1,bisque4
PLCL2,bisque4
PLCXD2,bisque4
PLEKHA5,bisque4
PLEKHG5,bisque4
PLIN2,bisque4
PLXDC2,bisque4
PNPT1,bisque4
POLDIP3,bisque4
POLE4,bisque4
POLR3B,bisque4
POU3F2,bisque4
POU6F2,bisque4
PPIL5,bisque4
PPP1R11,bisque4
PPP1R14B,bisque4
PPP2R2B,bisque4
PPP2R3A,bisque4
PPP2R5B,bisque4
PPT2,bisque4
PPTC7,bisque4
PRAME,bisque4
PRB4,bisque4
PRDX6,bisque4
PREPL,bisque4
PRICKLE2,bisque4
PRMT2,bisque4
PROX1,bisque4
PRPF8,bisque4
PRPH,bisque4
PRPSAP1,bisque4
PRPSAP2,bisque4
PRR24,bisque4
PRR3,bisque4
PRRT4,bisque4
PSMA5,bisque4
PSMB1,bisque4
PSMB5,bisque4
PSMD13,bisque4
PSMD14,bisque4
PSME2,bisque4
PSMG1,bisque4
PSPH,bisque4
PTCHD2,bisque4
PTDSS2,bisque4
PTEN,bisque4
PTPRG,bisque4
PTPRN2,bisque4
PTPRU,bisque4
PXDNL,bisque4
PXN,bisque4
PYCR1,bisque4
PYGO1,bisque4
QKI,bisque4
QPCTL,bisque4
QSOX2,bisque4
R3HDM1,bisque4
R3HDM2,bisque4
RAB1B,bisque4
RAB28,bisque4
RAB2B,bisque4
RAB30,bisque4
RAB3IP,bisque4
RAB6A,bisque4
RAB7L1,bisque4
RABEPK,bisque4
RABGAP1L,bisque4
RAD51AP2,bisque4
RAD9A,bisque4
RADIL,bisque4
RAE1,bisque4
RAI1,bisque4
RAMP1,bisque4
RAPH1,bisque4
RASA3,bisque4
RASGRF2,bisque4
RB1,bisque4
RBBP4,bisque4
RBM16,bisque4
RBM24,bisque4
RBMXL1,bisque4
RBP7,bisque4
RCC2,bisque4
REG4,bisque4
REST,bisque4
RFC2,bisque4
RFC5,bisque4
RFT1,bisque4
RFTN1,bisque4
RFX2,bisque4
RFX7,bisque4
RHOA,bisque4
RIMS3,bisque4
RMND5B,bisque4
RMRP,bisque4
RNASEN,bisque4
RNASET2,bisque4
RND3,bisque4
RNF103,bisque4
RNF146,bisque4
RNF19B,bisque4
RNF2,bisque4
RNFT2,bisque4
RNLS,bisque4
RNMT,bisque4
RNPC3,bisque4
RNPEP,bisque4
RORA,bisque4
RP5-1022P6.2,bisque4
RP9,bisque4
RPA2,bisque4
RPH3A,bisque4
